iter	RMSE
133	0.3210009929
134	0.3209478932
135	0.3208041216
136	0.3207201873
137	0.3205591476
138	0.3202854464
139	0.3200746395
140	0.320018804
141	0.3199097379
142	0.3196779394
143	0.3194328686
144	0.3192042252
145	0.318908837
146	0.3188973937
147	0.3186840431
148	0.3186184775
149	0.3184116022
150	0.3183231131
151	0.3180571937
152	0.3179512854
153	0.3177469224
154	0.3176291156
155	0.3175146957
156	0.3174434111
157	0.3173700381
158	0.3173236952
159	0.3173133353
160	0.3172635459
161	0.3171792454
162	0.3171702415
163	0.317080775
164	0.3170275007
165	0.316728414
166	0.3163235635
167	0.3161457614
168	0.3160088171
169	0.315671966
170	0.3154976095
171	0.3153081338
172	0.3151553976
173	0.3149454456
174	0.3147700461
175	0.3146552765
176	0.3145860618
177	0.314547822
178	0.3144602996
179	0.3143320894
180	0.3142128296
181	0.3139134032
182	0.3138686647
183	0.3137018621
184	0.3136252276
185	0.3136142333
186	0.3134710736
187	0.3134648992
188	0.3131495259
189	0.3131023525
190	0.3130011813
191	0.31289354
192	0.3127357734
193	0.3124951873
194	0.3123412736
195	0.3122721145
196	0.3122025064
197	0.3120815597
198	0.3120225086
199	0.3120171752
200	0.3117899605
201	0.3117415239
202	0.3116360294
203	0.3115647891
204	0.3111333994
205	0.3111012986
206	0.3109374743
207	0.3106521304
208	0.3104808689
209	0.3104483728
210	0.310371157
211	0.3102710869
212	0.3100283195
213	0.3097282909
214	0.3095668268
215	0.3094319128
216	0.30913856
217	0.3089659018
218	0.3088292057
219	0.308738888
220	0.3084742999
221	0.3083443883
222	0.3083405643
223	0.3082771081
224	0.308180559
225	0.3079752787
226	0.3079684294
227	0.3077200547
228	0.3075971901
229	0.3075397513
230	0.3074452042
231	0.3071229733
232	0.3070227918
233	0.3067150562
234	0.3065770896
235	0.3062672835
236	0.3061641227
237	0.3058723614
238	0.3058211371
239	0.3054750871
240	0.3053639813
241	0.3053057061
242	0.3052197242
243	0.3049484101
244	0.3049174684
245	0.3048611214
246	0.3048274175
247	0.3045511427
248	0.3043244215
249	0.3042187085
250	0.3041851167
251	0.3038373938
252	0.3034690059
253	0.3034072052
254	0.3033513945
255	0.3032239039
256	0.3031266934
257	0.3030932477
258	0.3030850313
259	0.302963792
260	0.302914794
261	0.302595691
262	0.3025400098
263	0.3024281201
264	0.3020166109
265	0.3017916115
266	0.3017112894
267	0.3016197591
268	0.3012163793
269	0.3011922293
270	0.3010963662
271	0.3010260574
272	0.3008365387
273	0.3006429507
274	0.3005530373
275	0.3004003345
276	0.3001605049
277	0.3001166845
278	0.2999837097
279	0.2999471681
280	0.2997057719
281	0.2995714746
282	0.2994515937
283	0.2993372373
284	0.298977631
285	0.2989165807
286	0.2988150279
287	0.2987681698
288	0.2986821798
289	0.2984072687
290	0.2983513715
291	0.2981676079
292	0.2978139923
293	0.2977418764
294	0.2975720974
295	0.2975568567
296	0.297465216
297	0.2973871424
298	0.297063279
299	0.2969047084
300	0.2968242217
301	0.2965074164
302	0.2964548163
303	0.296406999
304	0.2963599686
305	0.2962097891
306	0.2961760369
307	0.2960908431
308	0.2960254282
309	0.2958851663
310	0.2957981663
311	0.2956900261
312	0.295557363
313	0.2953877354
314	0.2952701774
315	0.2952246139
316	0.2950157846
317	0.2949293686
318	0.294848784
319	0.2948467563
320	0.2947399427
321	0.2946128411
322	0.2945583835
323	0.2944874857
324	0.2943775328
325	0.2942175507
326	0.2941859719
327	0.2941537442
328	0.2939812151
329	0.2939528466
330	0.2937986775
331	0.293772488
332	0.2935654745
333	0.2935219049
334	0.2934297206
335	0.2933481191
336	0.2932844564
337	0.2932238631
338	0.2932115774
339	0.293161211
340	0.2930351522
341	0.2929834268
342	0.2928518192
343	0.2927350505
344	0.2927092848
345	0.2925966343
346	0.2924365229
347	0.2924071174
348	0.2923546715
349	0.2922780375
350	0.2921542119
351	0.2920743959
352	0.2920247177
353	0.2919504715
354	0.2917910614
355	0.2917051624
356	0.2915227052
357	0.2913998168
358	0.2913409708
359	0.2912387175
360	0.2912062272
361	0.2910276535
362	0.2909701374
363	0.2909454956
364	0.2909087075
365	0.2908675114
366	0.2908309501
367	0.2905702383
368	0.2905252884
369	0.2904839848
370	0.2904132886
371	0.2903551732
372	0.290316548
373	0.2901394264
374	0.2901090645
375	0.2900770439
376	0.2900417697
377	0.2900079302
378	0.2899429021
379	0.2898848776
380	0.2896156636
381	0.2895287328
382	0.2894691287
383	0.2893846996
384	0.2892181322
385	0.2891966494
386	0.2891281887
387	0.2888770109
388	0.2888027917
389	0.2887062842
390	0.2886488399
391	0.2886335941
392	0.2885951641
393	0.2884107574
394	0.2882755901
395	0.2882248388
396	0.2881482466
397	0.2879831131
398	0.2878611474
399	0.2878060253
400	0.287724804
401	0.2876685545
402	0.2876061446
403	0.2874515776
404	0.2874121765
405	0.2873462424
406	0.2873186327
407	0.2870953773
408	0.2870493599
409	0.2870106393
410	0.2868731486
411	0.2867291969
412	0.2866687965
413	0.2865839551
414	0.2864833125
415	0.2863598383
416	0.2862667012
417	0.2862213006
418	0.2860638189
419	0.2860325964
420	0.2859629098
421	0.2859359602
422	0.2859066506
423	0.2857976128
424	0.2856612932
425	0.285634285
426	0.2856182642
427	0.2854694646
428	0.2854348408
429	0.2853601845
430	0.2853234254
431	0.2852506744
432	0.2851626031
433	0.2850960513
434	0.2850624463
435	0.2850319113
436	0.2849916896
437	0.2849704657
438	0.2848904733
439	0.2847430719
440	0.2846877826
441	0.2845493308
442	0.2844735447
443	0.2844323665
444	0.2843811705
445	0.2841642195
446	0.2840224021
447	0.2838565069
448	0.283796825
449	0.2837508496
450	0.2836348102
451	0.2835505791
452	0.2835184181
453	0.2834865553
454	0.2834619117
455	0.2834311672
456	0.2833040143
457	0.2832594784
458	0.2830541781
459	0.2830224354
460	0.2829360417
461	0.2828986205
462	0.2828461668
463	0.2828113481
464	0.2827775425
465	0.2827119621
466	0.2826783212
467	0.2826300473
468	0.2826103568
469	0.2825294205
470	0.2824998613
471	0.2824673147
472	0.2824446726
473	0.2823460107
474	0.2822216773
475	0.2820174054
476	0.2818805469
477	0.2818247368
478	0.2817977306
479	0.2817194443
480	0.2816778044
481	0.2816684882
482	0.2814566822
483	0.2813669878
484	0.2813146908
485	0.2812585373
486	0.2812104647
487	0.2811984495
488	0.2810984117
489	0.2810755498
490	0.2809921527
